index,id,speaker,text,ref_audio,emotion_ref_audio,emotion,emo_alpha,output_path,model,version,duration_s,elapsed_s,rtf,emotion_source,emotion_json,dominant_emotion,qwen_elapsed_s,qwen_raw_text
11,0011_speaker,逗哏,更扎心的是，被 AI 训练成只睡五小时。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0512_crosstalk_1813956-1816924.wav,,0.66,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0011_0011_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.586,4.09,0.8918,reference,,,,
12,0012_speaker,捧哏,以前熬夜是为了爱情，现在熬夜是为了额度刷新。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.72,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0012_0012_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.913,3.395,0.8676,reference,,,,
13,0013_speaker,逗哏,第二案，土狗道人的血泪创业史。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.56,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0013_0013_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.332,3.244,0.9736,reference,,,,
14,0014_speaker,捧哏,听名字就像开局一条狗，装备全靠封。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.75,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0014_0014_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.135,2.788,0.8894,reference,,,,
15,0015_speaker,逗哏,他本来想卖 Plus 号，大干一场。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.58,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0015_0015_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.995,2.941,0.982,reference,,,,
16,0016_speaker,捧哏,然后呢？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0324_crosstalk_1174530-1178247.wav,,0.68,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0016_0016_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,1.347,2.107,1.5645,reference,,,,
17,0017_speaker,逗哏,闲鱼光速封号。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0289_crosstalk_1020549-1022581.wav,,0.78,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0017_0017_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.067,3.208,1.5522,reference,,,,
18,0018_speaker,捧哏,这不叫创业，这叫平台给你做法事。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0325_crosstalk_1178247-1185150.wav,,0.7,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0018_0018_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.773,3.635,0.9634,reference,,,,
19,0019_speaker,逗哏,更离谱的是，他还被小红书忽悠去了西藏。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0411_crosstalk_1496417-1497956.wav,,0.72,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0019_0019_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.865,4.5,0.9251,reference,,,,
20,0020_speaker,捧哏,说走就走？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0324_crosstalk_1174530-1178247.wav,,0.68,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0020_0020_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,1.834,1.722,0.939,reference,,,,
21,0021_speaker,逗哏,说疼就疼。肾结石加高反，直接飞回。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0512_crosstalk_1813956-1816924.wav,,0.7,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0021_0021_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.331,3.887,0.8976,reference,,,,
22,0022_speaker,捧哏,别人去西藏净化心灵，他去西藏净化肾结石。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.78,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0022_0022_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.924,3.46,0.8817,reference,,,,
23,0023_speaker,逗哏,回来一句，小红书最多看看擦边。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0289_crosstalk_1020549-1022581.wav,,0.74,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0023_0023_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.146,2.976,0.9457,reference,,,,
24,0024_speaker,捧哏,总结到位，医学和互联网双重祛魅。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.76,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0024_0024_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.785,3.146,0.8312,reference,,,,
25,0025_speaker,逗哏,第三案，神仙打架。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.56,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0025_0025_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,1.997,2.071,1.0372,reference,,,,
26,0026_speaker,捧哏,什么神仙？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0324_crosstalk_1174530-1178247.wav,,0.68,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0026_0026_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,1.649,1.715,1.0403,reference,,,,
27,0027_speaker,逗哏,有人逆向 DeepSeek 安卓包，一块钱搞定。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.6,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0027_0027_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.971,3.533,0.8899,reference,,,,
28,0028_speaker,捧哏,一块钱？这叫技术吗？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0324_crosstalk_1174530-1178247.wav,,0.76,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0028_0028_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.647,2.357,0.8904,reference,,,,
29,0029_speaker,逗哏,这叫把奥特曼手撸成拼多多版本。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0075_crosstalk_0230717-0236108.wav,,0.75,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0029_0029_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.342,3.88,0.8935,reference,,,,
30,0030_speaker,捧哏,然后群里又开始喷拼车二十倍 Pro。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,,0.58,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0030_0030_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.669,3.234,0.8816,reference,,,,
31,0031_speaker,逗哏,说不是独立额度，跟正价有啥区别。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0289_crosstalk_1020549-1022581.wav,,0.76,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0031_0031_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.647,2.527,0.9545,reference,,,,
32,0032_speaker,捧哏,拼车拼到最后，发现司机也是乘客。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0325_crosstalk_1178247-1185150.wav,,0.7,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0032_0032_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.924,3.353,0.8545,reference,,,,
33,0033_speaker,逗哏,叶总还插播越南妹实战指南。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.56,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0033_0033_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.111,2.967,0.9536,reference,,,,
34,0034_speaker,捧哏,技术群突然变情感夜校。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0324_crosstalk_1174530-1178247.wav,,0.72,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0034_0034_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.529,3.117,0.8831,reference,,,,
35,0035_speaker,逗哏,有人说印尼妹周抛，越南妹更香。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0075_crosstalk_0230717-0236108.wav,,0.72,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0035_0035_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.145,3.836,0.9256,reference,,,,
36,0036_speaker,捧哏,好家伙，API 有日抛，恋爱也开始按套餐计费了。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0325_crosstalk_1178247-1185150.wav,,0.68,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0036_0036_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,6.548,5.671,0.8661,reference,,,,
37,0037_speaker,逗哏,第四案，赛博语录。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.56,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0037_0037_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.113,2.408,1.1394,reference,,,,
38,0038_speaker,捧哏,张赛博又来了？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0324_crosstalk_1174530-1178247.wav,,0.68,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0038_0038_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,1.892,1.817,0.9601,reference,,,,
39,0039_speaker,逗哏,群友问他，是不是又被甩了。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0075_crosstalk_0230717-0236108.wav,,0.72,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0039_0039_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.833,2.718,0.9594,reference,,,,
40,0040_speaker,捧哏,这不是问候，这是连续剧前情提要。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.74,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0040_0040_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.204,2.961,0.924,reference,,,,
41,0041_speaker,逗哏,刘总高调宣言，无人扶我青云志，争做修仙群最骚。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0289_crosstalk_1020549-1022581.wav,,0.72,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0041_0041_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,5.201,4.922,0.9464,reference,,,,
42,0042_speaker,捧哏,这志向，一听就没打算上岸。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0325_crosstalk_1178247-1185150.wav,,0.66,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0042_0042_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.564,3.212,0.9012,reference,,,,
43,0043_speaker,逗哏,群友补刀，穷得只剩妹子了。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.58,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0043_0043_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.775,3.319,1.1963,reference,,,,
44,0044_speaker,捧哏,我第一次听见有人把破产说得像后宫番。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.78,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0044_0044_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.39,2.967,0.8753,reference,,,,
45,0045_speaker,逗哏,第五案，模型消息轰炸。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.56,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0045_0045_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.334,2.515,1.0778,reference,,,,
46,0046_speaker,捧哏,这群模型党一天不刷模型名就浑身难受。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0325_crosstalk_1178247-1185150.wav,,0.66,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0046_0046_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.226,3.836,0.9078,reference,,,,
47,0047_speaker,逗哏,Flux3 还没来，ZImage 已经被抛弃。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0512_crosstalk_1813956-1816924.wav,,0.64,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0047_0047_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.564,3.478,0.9759,reference,,,,
48,0048_speaker,捧哏,模型迭代太快，昨天是白月光，今天是压缩包。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0512_crosstalk_1813956-1816924.wav,,0.62,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0048_0048_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.551,4.08,0.8966,reference,,,,
49,0049_speaker,逗哏,有人说 ZImage 有 SigLIP。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.56,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0049_0049_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.345,2.618,1.1164,reference,,,,
50,0050_speaker,捧哏,有也没用，群友移情别恋从来不看内在。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0325_crosstalk_1178247-1185150.wav,,0.7,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0050_0050_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,5.201,4.849,0.9323,reference,,,,
51,0051_speaker,逗哏,最后一句神评，过期的模型不要扔，开一开源，隔壁小孩馋哭了。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0075_crosstalk_0230717-0236108.wav,,0.76,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0051_0051_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,7.268,7.159,0.985,reference,,,,
52,0052_speaker,捧哏,这不叫开源，这叫 AI 界剩菜盲盒。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.78,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0052_0052_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.587,3.34,0.931,reference,,,,
53,0053_speaker,逗哏,今日龙王榜也很精彩。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.56,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0053_0053_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.31,2.615,1.1318,reference,,,,
54,0054_speaker,捧哏,第一名红领少年小修士，六十六条，专注水群卖号和哥哥真好。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0324_crosstalk_1174530-1178247.wav,,0.7,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0054_0054_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,7.024,6.725,0.9575,reference,,,,
55,0055_speaker,逗哏,第二名土狗道人，六十三条，创业未半，闲鱼先崩。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0512_crosstalk_1813956-1816924.wav,,0.66,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0055_0055_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,5.631,5.867,1.0419,reference,,,,
56,0056_speaker,捧哏,第三名晗萧，五十三条，模型研究狂，问题比参数还多。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0324_crosstalk_1174530-1178247.wav,,0.68,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0056_0056_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,6.409,6.171,0.9629,reference,,,,
57,0057_speaker,逗哏,第四名叶总，四十八条，从越南撩妹到 Codex 羊毛，全栈散修。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0075_crosstalk_0230717-0236108.wav,,0.72,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0057_0057_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,7.605,8.587,1.1292,reference,,,,
58,0058_speaker,捧哏,第五名二舟，四十五条，负责精准吐槽，专治群友膨胀。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.74,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0058_0058_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.83,4.81,0.996,reference,,,,
