index,id,speaker,text,ref_audio,ref_text,voice,instruct,output_path,clone_mode,ref_text_source,require_ref_text,segments,sample_rate,duration_s,elapsed_s,rtf,max_tokens
11,0011_speaker,逗哏,更扎心的是，被 AI 训练成只睡五小时。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0011_0011_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,3.6,1.3121,0.3645,64
12,0012_speaker,捧哏,以前熬夜是为了爱情，现在熬夜是为了额度刷新。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0012_0012_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,3.84,1.3754,0.3582,80
13,0013_speaker,逗哏,第二案，土狗道人的血泪创业史。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0013_0013_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,2.88,1.0583,0.3675,52
14,0014_speaker,捧哏,听名字就像开局一条狗，装备全靠封。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0014_0014_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,3.04,1.0702,0.352,60
15,0015_speaker,逗哏,他本来想卖 Plus 号，大干一场。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0015_0015_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,2.4,0.9325,0.3885,56
16,0016_speaker,捧哏,然后呢？,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0016_0016_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,0.56,0.2966,0.5296,48
17,0017_speaker,逗哏,闲鱼光速封号。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0017_0017_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,1.28,0.5298,0.4139,48
18,0018_speaker,捧哏,这不叫创业，这叫平台给你做法事。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0018_0018_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,2.8,1.1286,0.4031,56
19,0019_speaker,逗哏,更离谱的是，他还被小红书忽悠去了西藏。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0019_0019_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,3.12,1.4823,0.4751,68
20,0020_speaker,捧哏,说走就走？,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0020_0020_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,0.88,0.41,0.4659,48
21,0021_speaker,逗哏,说疼就疼。肾结石加高反，直接飞回。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0021_0021_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,3.36,1.2362,0.3679,56
22,0022_speaker,捧哏,别人去西藏净化心灵，他去西藏净化肾结石。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0022_0022_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,4.4,1.5199,0.3454,72
23,0023_speaker,逗哏,回来一句，小红书最多看看擦边。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0023_0023_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,2.56,0.9675,0.3779,52
24,0024_speaker,捧哏,总结到位，医学和互联网双重祛魅。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0024_0024_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,3.12,1.1328,0.3631,56
25,0025_speaker,逗哏,第三案，神仙打架。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0025_0025_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,1.92,0.7463,0.3887,48
26,0026_speaker,捧哏,什么神仙？,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0026_0026_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,0.8,0.3647,0.4559,48
27,0027_speaker,逗哏,有人逆向 DeepSeek 安卓包，一块钱搞定。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0027_0027_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,3.04,1.1018,0.3624,80
28,0028_speaker,捧哏,一块钱？这叫技术吗？,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0028_0028_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,1.8046,0.7252,0.4018,48
29,0029_speaker,逗哏,这叫把奥特曼手撸成拼多多版本。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0029_0029_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,2.48,0.9529,0.3843,56
30,0030_speaker,捧哏,然后群里又开始喷拼车二十倍 Pro。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0030_0030_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,2.96,1.1252,0.3801,64
31,0031_speaker,逗哏,说不是独立额度，跟正价有啥区别。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0031_0031_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,2.88,1.0835,0.3762,56
32,0032_speaker,捧哏,拼车拼到最后，发现司机也是乘客。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0032_0032_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,2.72,1.0134,0.3726,56
33,0033_speaker,逗哏,叶总还插播越南妹实战指南。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0033_0033_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,2.4,0.8845,0.3685,48
34,0034_speaker,捧哏,技术群突然变情感夜校。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0034_0034_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,1.92,0.7189,0.3744,48
35,0035_speaker,逗哏,有人说印尼妹周抛，越南妹更香。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0035_0035_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,3.12,1.164,0.3731,52
36,0036_speaker,捧哏,好家伙，API 有日抛，恋爱也开始按套餐计费了。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0036_0036_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,4.268,1.5096,0.3537,80
37,0037_speaker,逗哏,第四案，赛博语录。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0037_0037_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,1.76,0.6938,0.3942,48
38,0038_speaker,捧哏,张赛博又来了？,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0038_0038_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,0.96,0.4132,0.4304,48
39,0039_speaker,逗哏,群友问他，是不是又被甩了。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0039_0039_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,2.0,0.7754,0.3877,48
40,0040_speaker,捧哏,这不是问候，这是连续剧前情提要。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0040_0040_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,2.88,1.0501,0.3646,56
41,0041_speaker,逗哏,刘总高调宣言，无人扶我青云志，争做修仙群最骚。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0041_0041_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,5.28,2.0531,0.3888,80
42,0042_speaker,捧哏,这志向，一听就没打算上岸。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0042_0042_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,2.24,1.02,0.4554,48
43,0043_speaker,逗哏,群友补刀，穷得只剩妹子了。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0043_0043_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,2.24,1.4263,0.6367,48
44,0044_speaker,捧哏,我第一次听见有人把破产说得像后宫番。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0044_0044_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,3.36,1.562,0.4649,68
45,0045_speaker,逗哏,第五案，模型消息轰炸。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0045_0045_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,2.32,1.2035,0.5187,48
46,0046_speaker,捧哏,这群模型党一天不刷模型名就浑身难受。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0046_0046_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,3.12,1.1396,0.3653,68
47,0047_speaker,逗哏,Flux3 还没来，ZImage 已经被抛弃。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0047_0047_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,3.36,1.2106,0.3603,76
48,0048_speaker,捧哏,模型迭代太快，昨天是白月光，今天是压缩包。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0048_0048_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,3.76,1.3524,0.3597,72
49,0049_speaker,逗哏,有人说 ZImage 有 SigLIP。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0049_0049_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,2.16,0.8424,0.39,64
50,0050_speaker,捧哏,有也没用，群友移情别恋从来不看内在。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0050_0050_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,3.44,1.2429,0.3613,64
51,0051_speaker,逗哏,最后一句神评，过期的模型不要扔，开一开源，隔壁小孩馋哭了。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0051_0051_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,6.72,2.3354,0.3475,100
52,0052_speaker,捧哏,这不叫开源，这叫 AI 界剩菜盲盒。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0052_0052_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,2.96,1.0769,0.3638,56
53,0053_speaker,逗哏,今日龙王榜也很精彩。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0053_0053_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,1.84,0.7283,0.3958,48
54,0054_speaker,捧哏,第一名红领少年小修士，六十六条，专注水群卖号和哥哥真好。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0054_0054_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,5.68,1.9838,0.3493,100
55,0055_speaker,逗哏,第二名土狗道人，六十三条，创业未半，闲鱼先崩。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0055_0055_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,5.12,1.823,0.3561,76
56,0056_speaker,捧哏,第三名晗萧，五十三条，模型研究狂，问题比参数还多。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0056_0056_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,5.44,1.8854,0.3466,84
57,0057_speaker,逗哏,第四名叶总，四十八条，从越南撩妹到 Codex 羊毛，全栈散修。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0057_0057_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,5.52,2.0228,0.3664,104
